stamp,ax,ay,az,gx,gy,gz,px,py,pz,vx,vy,vz,qw,qx,qy,qz,bw_x,bw_y,bw_z,ba_x,ba_y,ba_z
1776086966.962475777,-2.638663218,0.113596222,9.474355221,-0.016215112,-0.013956215,-0.004891500,-0.000127072,0.000337804,0.000085931,-0.006153382,0.007789379,0.002175518,0.991704663,-0.000263188,0.128530565,-0.001298237,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.966788530,-2.624227805,0.118408027,9.476761123,-0.017280377,-0.018217273,-0.007022027,-0.000154815,0.000372568,0.000095623,-0.006712082,0.008332080,0.002318641,0.991710799,-0.000320437,0.128483153,-0.001291415,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.972493887,-2.597762881,0.094349005,9.459919808,-0.019410906,-0.016086744,-0.002760969,-0.000194948,0.000422020,0.000109193,-0.007356442,0.009003470,0.002438291,0.991719300,-0.000400307,0.128417423,-0.001278790,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.976721525,-2.568892055,0.084725396,9.488790634,-0.018345643,-0.013956215,0.002565354,-0.000226813,0.000460994,0.000119677,-0.007718213,0.009434105,0.002521747,0.991725026,-0.000459300,0.128373189,-0.001259243,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.982503176,-2.527991718,0.079913592,9.532096873,-0.019410906,-0.006499363,0.011087468,0.001293660,-0.008697586,0.000742882,-0.007180700,0.002748951,0.002915316,0.991681941,0.002999797,0.128671247,-0.001280217,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086966.986606121,-2.501526795,0.106378516,9.560967699,-0.017280377,-0.000107776,0.014283262,0.001264238,-0.008685983,0.000755454,-0.007161583,0.002907176,0.003213030,0.991684648,0.002947049,0.128652040,-0.001235441,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086966.992550611,-2.508744501,0.108784418,9.589838525,-0.009823526,0.006283810,0.015348526,0.001222040,-0.008667750,0.000776287,-0.007035644,0.003227216,0.003796152,0.991686084,0.002885592,0.128643015,-0.001166066,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086966.996833086,-2.496714990,0.125625733,9.597056232,-0.006627733,0.008414339,0.017479055,0.001192168,-0.008653344,0.000793598,-0.006914939,0.003500690,0.004288535,0.991685910,0.002853080,0.128645537,-0.001114136,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.002476215,-2.458220409,0.171337874,9.558561797,-0.004497204,0.008414339,0.013217997,0.001153924,-0.008632065,0.000819289,-0.006639423,0.004040936,0.004816575,0.991685265,0.002817305,0.128651841,-0.001049644,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.006864548,-2.419725974,0.168931972,9.527285069,-0.000236146,0.008414339,0.002565354,0.001125532,-0.008613196,0.000840908,-0.006300245,0.004558366,0.005036559,0.991684723,0.002794334,0.128656782,-0.001016621,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.012263060,-2.393261050,0.178555581,9.512849656,0.002959648,0.005218546,-0.008087292,0.001093020,-0.008586810,0.000868386,-0.005744703,0.005217056,0.005143211,0.991684553,0.002772352,0.128658652,-0.001005817,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.016703606,-2.419725974,0.147278853,9.510443754,0.007220706,0.004153281,-0.018739939,0.001068503,-0.008562544,0.000891339,-0.005297668,0.005712282,0.005194520,0.991684975,0.002759432,0.128655557,-0.001021464,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.022489786,-2.451002702,0.132843440,9.459919808,0.005090177,0.002022753,-0.019805200,0.001038951,-0.008527997,0.000921281,-0.004917053,0.006228746,0.005155242,0.991686092,0.002743467,0.128646983,-0.001059071,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.026770830,-2.501526795,0.147278853,9.409395863,0.002959648,-0.001173041,-0.025131524,0.001018021,-0.008500507,0.000942937,-0.004860908,0.006614134,0.004961711,0.991687656,0.002726247,0.128635010,-0.001093108,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.032597065,-2.544833034,0.149684755,9.411801765,-0.005562468,-0.004368834,-0.025131524,0.000989040,-0.008460282,0.000970887,-0.005087256,0.007194152,0.004632721,0.991691012,0.002686416,0.128609520,-0.001145154,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.036736250,-2.537615327,0.180961483,9.366089624,-0.015149849,-0.009695157,-0.024066258,0.000967450,-0.008429497,0.000989439,-0.005345077,0.007680646,0.004331673,0.991694578,0.002639666,0.128582684,-0.001178650,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.042484045,-2.554456642,0.152090657,9.337218798,-0.022606701,-0.013956215,-0.023000997,0.000935448,-0.008383355,0.001012560,-0.005790139,0.008374782,0.003713291,0.991701361,0.002550837,0.128531775,-0.001219014,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
